sourceID,prod_title,path,numofFiles,unzipSize,timestamp,downloadstatus
5d0aeaabe4b0e3d31160256f,USGS NED ned19_n46x75_w068x50_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n46x75_w068x50_me_aroostook_2012.zip,1,23016045,11302022 15:34:43,True
5d0aeaade4b0e3d311602575,USGS NED ned19_n47x00_w068x50_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n47x00_w068x50_me_aroostook_2012.zip,1,39841229,11302022 15:34:43,True
5d0aeab0e4b0e3d311602579,USGS NED ned19_n47x25_w068x25_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n47x25_w068x25_me_aroostook_2012.zip,1,99447534,11302022 15:34:43,True
5d0aeab0e4b0e3d31160257b,USGS NED ned19_n47x25_w068x50_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n47x25_w068x50_me_aroostook_2012.zip,1,102345506,11302022 15:34:43,True
5d0aeab0e4b0e3d31160257d,USGS NED ned19_n47x25_w068x75_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n47x25_w068x75_me_aroostook_2012.zip,1,97135184,11302022 15:34:43,True
5d0aeab2e4b0e3d31160257f,USGS NED ned19_n47x50_w068x25_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n47x50_w068x25_me_aroostook_2012.zip,1,27085506,11302022 15:34:43,True
5d0aeab2e4b0e3d311602581,USGS NED ned19_n47x50_w068x50_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n47x50_w068x50_me_aroostook_2012.zip,1,43140402,11302022 15:34:43,True
5d0aeab2e4b0e3d311602583,USGS NED ned19_n47x50_w068x75_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data04/gisdata/elev/01/0101/010100/01010003/3m/ned19_n47x50_w068x75_me_aroostook_2012.zip,1,5697361,11302022 15:34:43,True
5d0aeaa2e4b0e3d311602551,USGS NED ned19_n46x25_w068x25_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n46x25_w068x25_me_aroostook_2012.zip,1,34326650,11302022 15:34:43,True
5d0aeaa6e4b0e3d31160255f,USGS NED ned19_n46x50_w068x00_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n46x50_w068x00_me_aroostook_2012.zip,1,41074929,11302022 15:34:43,True
5d0aeaaae4b0e3d31160256b,USGS NED ned19_n46x75_w068x00_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n46x75_w068x00_me_aroostook_2012.zip,1,99430240,11302022 15:34:43,True
5d0aeaa6e4b0e3d311602561,USGS NED ned19_n46x50_w068x25_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n46x50_w068x25_me_aroostook_2012.zip,1,1168616,11302022 15:34:43,True
5d0aeaabe4b0e3d31160256d,USGS NED ned19_n46x75_w068x25_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n46x75_w068x25_me_aroostook_2012.zip,1,142691871,11302022 15:34:43,True
5d0aeaade4b0e3d311602571,USGS NED ned19_n47x00_w068x00_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n47x00_w068x00_me_aroostook_2012.zip,1,94847066,11302022 15:34:43,True
5d0aeaade4b0e3d311602573,USGS NED ned19_n47x00_w068x25_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n47x00_w068x25_me_aroostook_2012.zip,1,184978394,11302022 15:34:43,True
5d0aeab0e4b0e3d311602577,USGS NED ned19_n47x25_w068x00_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010004/3m/ned19_n47x25_w068x00_me_aroostook_2012.zip,1,57222468,11302022 15:34:43,True
5d0aea9de4b0e3d311602535,USGS NED ned19_n46x00_w068x00_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010005/3m/ned19_n46x00_w068x00_me_aroostook_2012.zip,1,8353149,11302022 15:34:43,True
5d0aeaa2e4b0e3d31160254f,USGS NED ned19_n46x25_w068x00_me_aroostook_2012 1/9 arc-second 2013 15 x 15 minute IMG,/data05/gisdata/elev/01/0101/010100/01010005/3m/ned19_n46x25_w068x00_me_aroostook_2012.zip,1,104062192,11302022 15:34:43,True
